Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-High,1.08,Revenue-Max,5526.1,52-Week-Price-Week-High,104.94,Stock-Previous-Quarter-Max,98.62,Peer-1-Previous-Quarter-Max,72.51,Peer-2-Previous-Quarter-Max,105.66,Peer-3-Previous-Quarter-Max,63.64,Peer-4-Previous-Quarter-Max,98.97
Stock-Beta-Low,0.46,Revenue-Min,4639.7,52-Week-Price-Week-Low,82.99,Stock-Previous-Quarter-Min,85.41,Peer-1-Previous-Quarter-Min,62.32,Peer-2-Previous-Quarter-Min,91.55,Peer-3-Previous-Quarter-Min,52.22,Peer-4-Previous-Quarter-Min,88.15
Count,52,Count,12,Count,52,Count,92,Count,92,Count,92,Count,92,Count,92
Stock-Beta-Week-1,0.5721605494142165,Revenue-Millions-Quaterly-Ago-1,4881.1,End-of-Day-Close-Price-Week-Ago-1,94.8900,Stock-Previous-Quarter-1,94.8900,Peer-1-Previous-Quarter-1,72.3100,Peer-2-Previous-Quarter-1,99.7400,Peer-3-Previous-Quarter-1,58.0600,Peer-4-Previous-Quarter-92,96.6700
Stock-Beta-Week-2,0.5382764262523961,Revenue-Millions-Quaterly-Ago-2,5526.1,End-of-Day-Close-Price-Week-Ago-2,90.9900,Stock-Previous-Quarter-2,94.5400,Peer-1-Previous-Quarter-2,71.5000,Peer-2-Previous-Quarter-2,98.8400,Peer-3-Previous-Quarter-2,57.4100,Peer-4-Previous-Quarter-91,97.5000
Stock-Beta-Week-3,0.5389013868095454,Revenue-Millions-Quaterly-Ago-3,4639.7,End-of-Day-Close-Price-Week-Ago-3,89.0900,Stock-Previous-Quarter-3,91.1700,Peer-1-Previous-Quarter-3,69.6300,Peer-2-Previous-Quarter-3,96.2300,Peer-3-Previous-Quarter-3,56.3100,Peer-4-Previous-Quarter-90,96.5400
Stock-Beta-Week-4,0.5253973000857481,Revenue-Millions-Quaterly-Ago-4,4639.7,End-of-Day-Close-Price-Week-Ago-4,90.7000,Stock-Previous-Quarter-4,90.9000,Peer-1-Previous-Quarter-4,68.9700,Peer-2-Previous-Quarter-4,95.0900,Peer-3-Previous-Quarter-4,55.5700,Peer-4-Previous-Quarter-89,96.3000
Stock-Beta-Week-5,0.5313984999244397,Revenue-Millions-Quaterly-Ago-5,4639.7,End-of-Day-Close-Price-Week-Ago-5,87.5300,Stock-Previous-Quarter-5,90.9900,Peer-1-Previous-Quarter-5,69.5800,Peer-2-Previous-Quarter-5,96.4700,Peer-3-Previous-Quarter-5,55.9100,Peer-4-Previous-Quarter-88,98.0400
Stock-Beta-Week-6,0.5054052972958286,Revenue-Millions-Quaterly-Ago-6,4639.7,End-of-Day-Close-Price-Week-Ago-6,89.0900,Stock-Previous-Quarter-6,90.4300,Peer-1-Previous-Quarter-6,69.0600,Peer-2-Previous-Quarter-6,96.1600,Peer-3-Previous-Quarter-6,55.6900,Peer-4-Previous-Quarter-87,97.8500
Stock-Beta-Week-7,0.46385568360684065,Revenue-Millions-Quaterly-Ago-7,4639.7,End-of-Day-Close-Price-Week-Ago-7,90.4300,Stock-Previous-Quarter-7,90.1000,Peer-1-Previous-Quarter-7,69.3400,Peer-2-Previous-Quarter-7,96.2700,Peer-3-Previous-Quarter-7,55.5800,Peer-4-Previous-Quarter-86,97.3500
