Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-High,1.46,Revenue-Max,30553,52-Week-Price-Week-High,47.58,Stock-Previous-Quarter-Max,41.11,Peer-1-Previous-Quarter-Max,42.19,Peer-2-Previous-Quarter-Max,412.25,Peer-3-Previous-Quarter-Max,20.42,Peer-4-Previous-Quarter-Max,152.41
Stock-Beta-Low,0.69,Revenue-Min,29849,52-Week-Price-Week-Low,29.27,Stock-Previous-Quarter-Min,33.98,Peer-1-Previous-Quarter-Min,36.54,Peer-2-Previous-Quarter-Min,304.96,Peer-3-Previous-Quarter-Min,17.86,Peer-4-Previous-Quarter-Min,138.98
Count,52,Count,12,Count,52,Count,92,Count,92,Count,92,Count,92,Count,92
Stock-Beta-Week-1,0.6922684457870888,Revenue-Millions-Quaterly-Ago-1,30553,End-of-Day-Close-Price-Week-Ago-1,37.6900,Stock-Previous-Quarter-1,37.6900,Peer-1-Previous-Quarter-1,39.4800,Peer-2-Previous-Quarter-1,350.2700,Peer-3-Previous-Quarter-1,19.6500,Peer-4-Previous-Quarter-92,150.1200
Stock-Beta-Week-2,0.7132018438989118,Revenue-Millions-Quaterly-Ago-2,29849,End-of-Day-Close-Price-Week-Ago-2,37.9100,Stock-Previous-Quarter-2,37.9200,Peer-1-Previous-Quarter-2,40.1100,Peer-2-Previous-Quarter-2,353.1200,Peer-3-Previous-Quarter-2,19.8800,Peer-4-Previous-Quarter-91,151.0500
Stock-Beta-Week-3,1.0978033231016266,Revenue-Millions-Quaterly-Ago-3,30016,End-of-Day-Close-Price-Week-Ago-3,35.9200,Stock-Previous-Quarter-3,37.7700,Peer-1-Previous-Quarter-3,39.6500,Peer-2-Previous-Quarter-3,348.1200,Peer-3-Previous-Quarter-3,19.6400,Peer-4-Previous-Quarter-90,149.9000
Stock-Beta-Week-4,1.0711125382988047,Revenue-Millions-Quaterly-Ago-4,30016,End-of-Day-Close-Price-Week-Ago-4,36.0300,Stock-Previous-Quarter-4,38.0100,Peer-1-Previous-Quarter-4,39.2200,Peer-2-Previous-Quarter-4,356.2100,Peer-3-Previous-Quarter-4,19.3900,Peer-4-Previous-Quarter-89,148.6200
Stock-Beta-Week-5,1.1507064479426083,Revenue-Millions-Quaterly-Ago-5,30016,End-of-Day-Close-Price-Week-Ago-5,35.3100,Stock-Previous-Quarter-5,37.9100,Peer-1-Previous-Quarter-5,38.8900,Peer-2-Previous-Quarter-5,357.6100,Peer-3-Previous-Quarter-5,19.2500,Peer-4-Previous-Quarter-88,151.4600
Stock-Beta-Week-6,1.1257809351087598,Revenue-Millions-Quaterly-Ago-6,30016,End-of-Day-Close-Price-Week-Ago-6,37.2300,Stock-Previous-Quarter-6,37.1500,Peer-1-Previous-Quarter-6,38.6600,Peer-2-Previous-Quarter-6,349.0500,Peer-3-Previous-Quarter-6,19.0800,Peer-4-Previous-Quarter-87,151.8100
Stock-Beta-Week-7,1.0185823990197551,Revenue-Millions-Quaterly-Ago-7,30016,End-of-Day-Close-Price-Week-Ago-7,37.0000,Stock-Previous-Quarter-7,36.9500,Peer-1-Previous-Quarter-7,38.4800,Peer-2-Previous-Quarter-7,349.7100,Peer-3-Previous-Quarter-7,19.0000,Peer-4-Previous-Quarter-86,152.4100
Stock-Beta-Week-8,0.9961504444798,Revenue-Millions-Quaterly-Ago-8,30016,End-of-Day-Close-Price-Week-Ago-8,39.1200,Stock-Previous-Quarter-8,36.4500,Peer-1-Previous-Quarter-8,38.0000,Peer-2-Previous-Quarter-8,345.5400,Peer-3-Previous-Quarter-8,18.7200,Peer-4-Previous-Quarter-85,150.6200
Stock-Beta-Week-9,0.949786879509816,Revenue-Millions-Quaterly-Ago-9,30016,End-of-Day-Close-Price-Week-Ago-9,38.3600,Stock-Previous-Quarter-9,36.4000,Peer-1-Previous-Quarter-9,38.0500,Peer-2-Previous-Quarter-9,348.3600,Peer-3-Previous-Quarter-9,18.8700,Peer-4-Previous-Quarter-84,149.3900
Stock-Beta-Week-10,1.032321677306572,Revenue-Millions-Quaterly-Ago-10,30016,End-of-Day-Close-Price-Week-Ago-10,39.9700,Stock-Previous-Quarter-10,35.9200,Peer-1-Previous-Quarter-10,37.6600,Peer-2-Previous-Quarter-10,343.9500,Peer-3-Previous-Quarter-10,18.6100,Peer-4-Previous-Quarter-83,148.7900
Stock-Beta-Week-11,0.8985223214852714,Revenue-Millions-Quaterly-Ago-11,30016,End-of-Day-Close-Price-Week-Ago-11,39.6000,Stock-Previous-Quarter-11,35.9700,Peer-1-Previous-Quarter-11,37.3700,Peer-2-Previous-Quarter-11,342.1700,Peer-3-Previous-Quarter-11,18.4600,Peer-4-Previous-Quarter-82,143.8100
Stock-Beta-Week-12,0.8831290376790636,Revenue-Millions-Quaterly-Ago-12,30016,End-of-Day-Close-Price-Week-Ago-12,39.3700,Stock-Previous-Quarter-12,36.2000,Peer-1-Previous-Quarter-12,37.3100,Peer-2-Previous-Quarter-12,341.8300,Peer-3-Previous-Quarter-12,18.3900,Peer-4-Previous-Quarter-81,141.5700
Stock-Beta-Week-13,0.7981441224460438,,,End-of-Day-Close-Price-Week-Ago-13,38.9300,Stock-Previous-Quarter-13,36.9900,Peer-1-Previous-Quarter-13,37.7400,Peer-2-Previous-Quarter-13,352.2900,Peer-3-Previous-Quarter-13,18.5400,Peer-4-Previous-Quarter-80,142.4000
Stock-Beta-Week-14,0.8229342547958045,,,End-of-Day-Close-Price-Week-Ago-14,37.8900,Stock-Previous-Quarter-14,36.4300,Peer-1-Previous-Quarter-14,37.4300,Peer-2-Previous-Quarter-14,348.7500,Peer-3-Previous-Quarter-14,18.4900,Peer-4-Previous-Quarter-79,140.5800
Stock-Beta-Week-15,0.8450153668622139,,,End-of-Day-Close-Price-Week-Ago-15,34.9700,Stock-Previous-Quarter-15,36.0300,Peer-1-Previous-Quarter-15,36.7900,Peer-2-Previous-Quarter-15,350.0100,Peer-3-Previous-Quarter-15,18.1300,Peer-4-Previous-Quarter-78,142.3600
Stock-Beta-Week-16,1.0539375193245526,,,End-of-Day-Close-Price-Week-Ago-16,35.1400,Stock-Previous-Quarter-16,36.2400,Peer-1-Previous-Quarter-16,36.5800,Peer-2-Previous-Quarter-16,346.4500,Peer-3-Previous-Quarter-16,18.3900,Peer-4-Previous-Quarter-77,140.2000
Stock-Beta-Week-17,1.0887681155396896,,,End-of-Day-Close-Price-Week-Ago-17,34.4900,Stock-Previous-Quarter-17,35.8900,Peer-1-Previous-Quarter-17,37.0600,Peer-2-Previous-Quarter-17,341.9400,Peer-3-Previous-Quarter-17,18.3100,Peer-4-Previous-Quarter-76,142.3600
Stock-Beta-Week-18,1.0915881904618863,,,End-of-Day-Close-Price-Week-Ago-18,35.3200,Stock-Previous-Quarter-18,35.2800,Peer-1-Previous-Quarter-18,36.8800,Peer-2-Previous-Quarter-18,336.1400,Peer-3-Previous-Quarter-18,18.4400,Peer-4-Previous-Quarter-75,141.6200
Stock-Beta-Week-19,1.2028596727785257,,,End-of-Day-Close-Price-Week-Ago-19,35.8600,Stock-Previous-Quarter-19,35.5100,Peer-1-Previous-Quarter-19,36.5400,Peer-2-Previous-Quarter-19,335.2600,Peer-3-Previous-Quarter-19,18.3000,Peer-4-Previous-Quarter-74,140.3400
Stock-Beta-Week-20,1.184151669092809,,,End-of-Day-Close-Price-Week-Ago-20,35.6500,Stock-Previous-Quarter-20,35.3100,Peer-1-Previous-Quarter-20,36.6800,Peer-2-Previous-Quarter-20,329.4900,Peer-3-Previous-Quarter-20,18.4300,Peer-4-Previous-Quarter-73,141.4700
Stock-Beta-Week-21,1.1715388167414813,,,End-of-Day-Close-Price-Week-Ago-21,34.5000,Stock-Previous-Quarter-21,35.4700,Peer-1-Previous-Quarter-21,36.5500,Peer-2-Previous-Quarter-21,343.0100,Peer-3-Previous-Quarter-21,18.3200,Peer-4-Previous-Quarter-72,139.5300
Stock-Beta-Week-22,1.1251626463387776,,,End-of-Day-Close-Price-Week-Ago-22,34.0200,Stock-Previous-Quarter-22,35.9000,Peer-1-Previous-Quarter-22,37.5300,Peer-2-Previous-Quarter-22,353.8700,Peer-3-Previous-Quarter-22,18.6100,Peer-4-Previous-Quarter-71,140.0200
Stock-Beta-Week-23,1.0685074924422713,,,End-of-Day-Close-Price-Week-Ago-23,31.0000,Stock-Previous-Quarter-23,36.1900,Peer-1-Previous-Quarter-23,37.9100,Peer-2-Previous-Quarter-23,357.8500,Peer-3-Previous-Quarter-23,18.7100,Peer-4-Previous-Quarter-70,140.9900
Stock-Beta-Week-24,1.1200959948802642,,,End-of-Day-Close-Price-Week-Ago-24,31.9500,Stock-Previous-Quarter-24,37.0800,Peer-1-Previous-Quarter-24,38.1500,Peer-2-Previous-Quarter-24,369.1100,Peer-3-Previous-Quarter-24,18.7700,Peer-4-Previous-Quarter-69,138.9800
Stock-Beta-Week-25,1.1916766274676418,,,End-of-Day-Close-Price-Week-Ago-25,30.4800,Stock-Previous-Quarter-25,37.2300,Peer-1-Previous-Quarter-25,38.2600,Peer-2-Previous-Quarter-25,369.9800,Peer-3-Previous-Quarter-25,18.8100,Peer-4-Previous-Quarter-68,139.4000
Stock-Beta-Week-26,1.1950531701070726,,,End-of-Day-Close-Price-Week-Ago-26,30.0500,Stock-Previous-Quarter-26,36.9500,Peer-1-Previous-Quarter-26,38.4100,Peer-2-Previous-Quarter-26,363.0900,Peer-3-Previous-Quarter-26,18.6600,Peer-4-Previous-Quarter-67,140.0000
