Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-High,4.08,Revenue-Max,1537.3,52-Week-Price-Week-High,63.15,Stock-Previous-Quarter-Max,48.76,Peer-1-Previous-Quarter-Max,100.28,Peer-2-Previous-Quarter-Max,279.65,Peer-3-Previous-Quarter-Max,138.46,Peer-4-Previous-Quarter-Max,63.87
Stock-Beta-Low,2.63,Revenue-Min,1418.5,52-Week-Price-Week-Low,36.1,Stock-Previous-Quarter-Min,34.68,Peer-1-Previous-Quarter-Min,62.33,Peer-2-Previous-Quarter-Min,140.36,Peer-3-Previous-Quarter-Min,106.97,Peer-4-Previous-Quarter-Min,49.12
Count,52,Count,12,Count,52,Count,92,Count,92,Count,92,Count,92,Count,92
Stock-Beta-Week-1,4.077739920289175,Revenue-Millions-Quaterly-Ago-1,1418.5,End-of-Day-Close-Price-Week-Ago-1,40.0900,Stock-Previous-Quarter-1,40.0900,Peer-1-Previous-Quarter-1,92.5600,Peer-2-Previous-Quarter-1,268.8100,Peer-3-Previous-Quarter-1,123.0400,Peer-4-Previous-Quarter-92,58.6200
Stock-Beta-Week-2,3.9578942134976263,Revenue-Millions-Quaterly-Ago-2,1537.3,End-of-Day-Close-Price-Week-Ago-2,43.3000,Stock-Previous-Quarter-2,40.4800,Peer-1-Previous-Quarter-2,95.8700,Peer-2-Previous-Quarter-2,274.5300,Peer-3-Previous-Quarter-2,122.3000,Peer-4-Previous-Quarter-91,58.9300
Stock-Beta-Week-3,3.8287614584042973,Revenue-Millions-Quaterly-Ago-3,1516.9,End-of-Day-Close-Price-Week-Ago-3,41.0650,Stock-Previous-Quarter-3,41.9500,Peer-1-Previous-Quarter-3,96.5600,Peer-2-Previous-Quarter-3,279.6500,Peer-3-Previous-Quarter-3,124.7400,Peer-4-Previous-Quarter-90,58.4100
Stock-Beta-Week-4,3.6252166372243537,Revenue-Millions-Quaterly-Ago-4,1516.9,End-of-Day-Close-Price-Week-Ago-4,39.9700,Stock-Previous-Quarter-4,43.3000,Peer-1-Previous-Quarter-4,98.0100,Peer-2-Previous-Quarter-4,277.7700,Peer-3-Previous-Quarter-4,127.5800,Peer-4-Previous-Quarter-89,55.7500
Stock-Beta-Week-5,3.6605581867938466,Revenue-Millions-Quaterly-Ago-5,1516.9,End-of-Day-Close-Price-Week-Ago-5,38.6800,Stock-Previous-Quarter-5,43.2500,Peer-1-Previous-Quarter-5,97.8800,Peer-2-Previous-Quarter-5,273.8300,Peer-3-Previous-Quarter-5,127.4000,Peer-4-Previous-Quarter-88,55.1200
Stock-Beta-Week-6,3.646779325638656,Revenue-Millions-Quaterly-Ago-6,1516.9,End-of-Day-Close-Price-Week-Ago-6,44.0400,Stock-Previous-Quarter-6,42.7000,Peer-1-Previous-Quarter-6,96.0900,Peer-2-Previous-Quarter-6,269.8400,Peer-3-Previous-Quarter-6,125.0900,Peer-4-Previous-Quarter-87,57.6500
Stock-Beta-Week-7,3.597033386822315,Revenue-Millions-Quaterly-Ago-7,1516.9,End-of-Day-Close-Price-Week-Ago-7,43.8500,Stock-Previous-Quarter-7,40.4500,Peer-1-Previous-Quarter-7,94.5600,Peer-2-Previous-Quarter-7,264.1000,Peer-3-Previous-Quarter-7,121.3400,Peer-4-Previous-Quarter-86,55.4900
