Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-High,NASDAQ 100 Index,Revenue-Max,The stock is expected to deliver strong earnings and performance,52-Week-Price-Week-High,3670.737,Stock-Previous-Quarter-Max,--,Peer-1-Previous-Quarter-Max,858.3500,Peer-2-Previous-Quarter-Max,2530.6800,Peer-3-Previous-Quarter-Max,120.6900,Peer-4-Previous-Quarter-Max,162.1600
Stock-Beta-Low,2.20,Revenue-Min,3798.619,52-Week-Price-Week-Low,873.01,Stock-Previous-Quarter-Min,873.01,Peer-1-Previous-Quarter-Min,2605.62,Peer-2-Previous-Quarter-Min,156.84,Peer-3-Previous-Quarter-Min,187.28,Peer-4-Previous-Quarter-Min,241.66
Count,52,Count,12,Count,52,Count,92,Count,92,Count,92,Count,92,Count,92
Stock-Beta-Week-1,1.1813734188139775,Revenue-Millions-Quaterly-Ago-1,3644.493,End-of-Day-Close-Price-Week-Ago-1,572.57,Stock-Previous-Quarter-1,864.4400,Peer-1-Previous-Quarter-1,2494.4400,Peer-2-Previous-Quarter-1,120.2100,Peer-3-Previous-Quarter-1,164.8400,Peer-4-Previous-Quarter-92,206.86
Stock-Beta-Week-2,1.7964496839986186,Revenue-Millions-Quaterly-Ago-2,3644.493,End-of-Day-Close-Price-Week-Ago-2,858.3500,Stock-Previous-Quarter-2,867.9500,Peer-1-Previous-Quarter-2,2502.0500,Peer-2-Previous-Quarter-2,121.3400,Peer-3-Previous-Quarter-2,168.2800,Peer-4-Previous-Quarter-91,225.7600
Stock-Beta-Week-3,1.792779834542307,Revenue-Millions-Quaterly-Ago-3,3798.619,End-of-Day-Close-Price-Week-Ago-3,848.9800,Stock-Previous-Quarter-3,848.9800,Peer-1-Previous-Quarter-3,2511.5400,Peer-2-Previous-Quarter-3,122.6900,Peer-3-Previous-Quarter-3,167.3100,Peer-4-Previous-Quarter-90,224.0200
Stock-Beta-Week-4,1.8476689901338357,Revenue-Millions-Quaterly-Ago-4,3670.737,End-of-Day-Close-Price-Week-Ago-4,810.7600,Stock-Previous-Quarter-4,841.5000,Peer-1-Previous-Quarter-4,2458.1500,Peer-2-Previous-Quarter-4,121.6100,Peer-3-Previous-Quarter-4,164.3700,Peer-4-Previous-Quarter-89,221.8800
Stock-Beta-Week-5,1.9900855153132593,Revenue-Millions-Quaterly-Ago-5,3670.737,End-of-Day-Close-Price-Week-Ago-5,797.8700,Stock-Previous-Quarter-5,832.0800,Peer-1-Previous-Quarter-5,2406.1900,Peer-2-Previous-Quarter-5,118.6100,Peer-3-Previous-Quarter-5,162.5400,Peer-4-Previous-Quarter-88,219.0100
Stock-Beta-Week-6,2.1012704572867436,Revenue-Millions-Quaterly-Ago-6,3670.737,End-of-Day-Close-Price-Week-Ago-6,819.9200,Stock-Previous-Quarter-6,828.8500,Peer-1-Previous-Quarter-6,2395.3700,Peer-2-Previous-Quarter-6,117.5500,Peer-3-Previous-Quarter-6,161.3400,Peer-4-Previous-Quarter-87,226.3100
Stock-Beta-Week-7,2.1963828635331586,Revenue-Millions-Quaterly-Ago-7,3670.737,End-of-Day-Close-Price-Week-Ago-7,838.0300,Stock-Previous-Quarter-7,819.0400,Peer-1-Previous-Quarter-7,2405.2200,Peer-2-Previous-Quarter-7,115.7400,Peer-3-Previous-Quarter-7,159.0300,Peer-4-Previous-Quarter-86,224.6300
Stock-Beta-Week-8,2.0946145391184676,Revenue-Millions-Quaterly-Ago-8,3670.737,End-of-Day-Close-Price-Week-Ago-8,831.8200,Stock-Previous-Quarter-8,810.7600,Peer-1-Previous-Quarter-8,2368.5500,Peer-2-Previous-Quarter-8,114.7400,Peer-3-Previous-Quarter-8,156.8800,Peer-4-Previous-Quarter-85,224.9400
Stock-Beta-Week-9,2.1026850803135653,Revenue-Millions-Quaterly-Ago-9,3670.737,End-of-Day-Close-Price-Week-Ago-9,873.0100,Stock-Previous-Quarter-9,801.3800,Peer-1-Previous-Quarter-9,2329.4000,Peer-2-Previous-Quarter-9,110.8300,Peer-3-Previous-Quarter-9,154.2900,Peer-4-Previous-Quarter-84,220.9500
Stock-Beta-Week-10,1.9661405158240592,Revenue-Millions-Quaterly-Ago-10,3670.737,End-of-Day-Close-Price-Week-Ago-10,825.3200,Stock-Previous-Quarter-10,808.9700,Peer-1-Previous-Quarter-10,2307.8200,Peer-2-Previous-Quarter-10,111.1400,Peer-3-Previous-Quarter-10,162.6300,Peer-4-Previous-Quarter-83,217.1300
Stock-Beta-Week-11,1.8942429125873517,Revenue-Millions-Quaterly-Ago-11,3670.737,End-of-Day-Close-Price-Week-Ago-11,794.8400,Stock-Previous-Quarter-11,819.6300,Peer-1-Previous-Quarter-11,2349.3000,Peer-2-Previous-Quarter-11,113.6000,Peer-3-Previous-Quarter-11,165.9200,Peer-4-Previous-Quarter-82,217.3400
Stock-Beta-Week-12,1.8626483050073035,Revenue-Millions-Quaterly-Ago-12,3670.737,End-of-Day-Close-Price-Week-Ago-12,771.1700,Stock-Previous-Quarter-12,816.0600,Peer-1-Previous-Quarter-12,2394.9500,Peer-2-Previous-Quarter-12,119.7900,Peer-3-Previous-Quarter-12,164.7500,Peer-4-Previous-Quarter-81,219.5200
Stock-Beta-Week-13,1.9129917147105215,,,End-of-Day-Close-Price-Week-Ago-13,793.3800,Stock-Previous-Quarter-13,797.8700,Peer-1-Previous-Quarter-13,2391.1700,Peer-2-Previous-Quarter-13,118.6800,Peer-3-Previous-Quarter-13,162.0700,Peer-4-Previous-Quarter-80,218.3200
Stock-Beta-Week-14,1.905261541635702,,,End-of-Day-Close-Price-Week-Ago-14,815.4700,Stock-Previous-Quarter-14,819.5200,Peer-1-Previous-Quarter-14,2365.0000,Peer-2-Previous-Quarter-14,119.4000,Peer-3-Previous-Quarter-14,164.6600,Peer-4-Previous-Quarter-79,214.4700
Stock-Beta-Week-15,1.7822571503678524,,,End-of-Day-Close-Price-Week-Ago-15,842.5200,Stock-Previous-Quarter-15,818.2600,Peer-1-Previous-Quarter-15,2413.3200,Peer-2-Previous-Quarter-15,122.0300,Peer-3-Previous-Quarter-15,163.1300,Peer-4-Previous-Quarter-78,214.2000
Stock-Beta-Week-16,1.7869912784396362,,,End-of-Day-Close-Price-Week-Ago-16,844.0300,Stock-Previous-Quarter-16,821.2300,Peer-1-Previous-Quarter-16,2415.6800,Peer-2-Previous-Quarter-16,121.7700,Peer-3-Previous-Quarter-16,163.8000,Peer-4-Previous-Quarter-77,215.3200
Stock-Beta-Week-17,1.7673900205438102,,,End-of-Day-Close-Price-Week-Ago-17,833.5500,Stock-Previous-Quarter-17,818.2300,Peer-1-Previous-Quarter-17,2427.4100,Peer-2-Previous-Quarter-17,121.7000,Peer-3-Previous-Quarter-17,162.5000,Peer-4-Previous-Quarter-76,214.0200
Stock-Beta-Week-18,1.8519736126346404,,,End-of-Day-Close-Price-Week-Ago-18,811.7700,Stock-Previous-Quarter-18,819.9200,Peer-1-Previous-Quarter-18,2429.8600,Peer-2-Previous-Quarter-18,124.3600,Peer-3-Previous-Quarter-18,162.9900,Peer-4-Previous-Quarter-75,210.5100
Stock-Beta-Week-19,1.8390036981195363,,,End-of-Day-Close-Price-Week-Ago-19,827.8000,Stock-Previous-Quarter-19,822.3100,Peer-1-Previous-Quarter-19,2421.3900,Peer-2-Previous-Quarter-19,128.0400,Peer-3-Previous-Quarter-19,165.2000,Peer-4-Previous-Quarter-74,211.4600
Stock-Beta-Week-20,1.807800252444813,,,End-of-Day-Close-Price-Week-Ago-20,858.4100,Stock-Previous-Quarter-20,830.5600,Peer-1-Previous-Quarter-20,2422.1900,Peer-2-Previous-Quarter-20,129.8300,Peer-3-Previous-Quarter-20,168.7200,Peer-4-Previous-Quarter-73,210.2000
Stock-Beta-Week-21,1.7484622728379078,,,End-of-Day-Close-Price-Week-Ago-21,855.9700,Stock-Previous-Quarter-21,828.7200,Peer-1-Previous-Quarter-21,2459.5700,Peer-2-Previous-Quarter-21,132.2100,Peer-3-Previous-Quarter-21,170.2300,Peer-4-Previous-Quarter-72,214.2500
Stock-Beta-Week-22,1.687296776120498,,,End-of-Day-Close-Price-Week-Ago-22,838.2700,Stock-Previous-Quarter-22,839.4400,Peer-1-Previous-Quarter-22,2474.8300,Peer-2-Previous-Quarter-22,133.6900,Peer-3-Previous-Quarter-22,173.6100,Peer-4-Previous-Quarter-71,213.0500
Stock-Beta-Week-23,1.6232005980311388,,,End-of-Day-Close-Price-Week-Ago-23,815.6000,Stock-Previous-Quarter-23,838.0300,Peer-1-Previous-Quarter-23,2520.0000,Peer-2-Previous-Quarter-23,135.1300,Peer-3-Previous-Quarter-23,171.8000,Peer-4-Previous-Quarter-70,217.0600
