Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-High,3.71,Revenue-Max,5214.231,52-Week-Price-Week-High,121.57,Stock-Previous-Quarter-Max,121.57,Peer-1-Previous-Quarter-Max,82.72,Peer-2-Previous-Quarter-Max,234.15,Peer-3-Previous-Quarter-Max,46.54,Peer-4-Previous-Quarter-Max,73.36
Stock-Beta-Low,1.26,Revenue-Min,4565.489,52-Week-Price-Week-Low,71.38,Stock-Previous-Quarter-Min,100.63,Peer-1-Previous-Quarter-Min,73.54,Peer-2-Previous-Quarter-Min,185.8,Peer-3-Previous-Quarter-Min,32.83,Peer-4-Previous-Quarter-Min,58.38
Count,52,Count,12,Count,52,Count,92,Count,92,Count,92,Count,92,Count,92
Stock-Beta-Week-1,1.3361242045394153,Revenue-Millions-Quaterly-Ago-1,5214.231,End-of-Day-Close-Price-Week-Ago-1,106.4600,Stock-Previous-Quarter-1,106.4600,Peer-1-Previous-Quarter-1,78.0500,Peer-2-Previous-Quarter-1,193.9800,Peer-3-Previous-Quarter-1,40.7200,Peer-4-Previous-Quarter-92,67.2500
Stock-Beta-Week-2,1.2791891636683201,Revenue-Millions-Quaterly-Ago-2,4565.489,End-of-Day-Close-Price-Week-Ago-2,106.1300,Stock-Previous-Quarter-2,108.5300,Peer-1-Previous-Quarter-2,78.0400,Peer-2-Previous-Quarter-2,198.8200,Peer-3-Previous-Quarter-2,41.2500,Peer-4-Previous-Quarter-91,69.7000
Stock-Beta-Week-3,1.2580385030623304,Revenue-Millions-Quaterly-Ago-3,4583.009,End-of-Day-Close-Price-Week-Ago-3,101.3300,Stock-Previous-Quarter-3,108.6300,Peer-1-Previous-Quarter-3,78.6400,Peer-2-Previous-Quarter-3,206.7300,Peer-3-Previous-Quarter-3,41.4200,Peer-4-Previous-Quarter-90,68.1900
Stock-Beta-Week-4,1.2685968798773906,Revenue-Millions-Quaterly-Ago-4,4583.009,End-of-Day-Close-Price-Week-Ago-4,102.0600,Stock-Previous-Quarter-4,106.1300,Peer-1-Previous-Quarter-4,78.8600,Peer-2-Previous-Quarter-4,205.9300,Peer-3-Previous-Quarter-4,39.6900,Peer-4-Previous-Quarter-89,67.6000
Stock-Beta-Week-5,1.3292348949154704,Revenue-Millions-Quaterly-Ago-5,4583.009,End-of-Day-Close-Price-Week-Ago-5,104.1700,Stock-Previous-Quarter-5,103.1300,Peer-1-Previous-Quarter-5,78.3600,Peer-2-Previous-Quarter-5,202.1000,Peer-3-Previous-Quarter-5,39.4800,Peer-4-Previous-Quarter-88,59.8000
Stock-Beta-Week-6,2.6271906970154992,Revenue-Millions-Quaterly-Ago-6,4583.009,End-of-Day-Close-Price-Week-Ago-6,112.4300,Stock-Previous-Quarter-6,102.4700,Peer-1-Previous-Quarter-6,76.9100,Peer-2-Previous-Quarter-6,194.5800,Peer-3-Previous-Quarter-6,39.9800,Peer-4-Previous-Quarter-87,66.6600
Stock-Beta-Week-7,3.614109273476329,Revenue-Millions-Quaterly-Ago-7,4583.009,End-of-Day-Close-Price-Week-Ago-7,111.4600,Stock-Previous-Quarter-7,103.1400,Peer-1-Previous-Quarter-7,76.5500,Peer-2-Previous-Quarter-7,197.6400,Peer-3-Previous-Quarter-7,40.0300,Peer-4-Previous-Quarter-86,63.8600
Stock-Beta-Week-8,3.7080743536869623,Revenue-Millions-Quaterly-Ago-8,4583.009,End-of-Day-Close-Price-Week-Ago-8,115.6900,Stock-Previous-Quarter-8,100.6300,Peer-1-Previous-Quarter-8,76.2100,Peer-2-Previous-Quarter-8,201.2700,Peer-3-Previous-Quarter-8,38.9400,Peer-4-Previous-Quarter-85,66.2200
Stock-Beta-Week-9,3.5515758926566474,Revenue-Millions-Quaterly-Ago-9,4583.009,End-of-Day-Close-Price-Week-Ago-9,115.1800,Stock-Previous-Quarter-9,101.3300,Peer-1-Previous-Quarter-9,75.3800,Peer-2-Previous-Quarter-9,199.5100,Peer-3-Previous-Quarter-9,37.9800,Peer-4-Previous-Quarter-84,64.3500
Stock-Beta-Week-10,3.539304682845572,Revenue-Millions-Quaterly-Ago-10,4583.009,End-of-Day-Close-Price-Week-Ago-10,115.3200,Stock-Previous-Quarter-10,101.6300,Peer-1-Previous-Quarter-10,74.8700,Peer-2-Previous-Quarter-10,200.6800,Peer-3-Previous-Quarter-10,37.7300,Peer-4-Previous-Quarter-83,65.8000
Stock-Beta-Week-11,3.058315195529729,Revenue-Millions-Quaterly-Ago-11,4583.009,End-of-Day-Close-Price-Week-Ago-11,119.4800,Stock-Previous-Quarter-11,102.6100,Peer-1-Previous-Quarter-11,74.6300,Peer-2-Previous-Quarter-11,203.6700,Peer-3-Previous-Quarter-11,39.0800,Peer-4-Previous-Quarter-82,67.9700
Stock-Beta-Week-12,3.0881849479514174,Revenue-Millions-Quaterly-Ago-12,4583.009,End-of-Day-Close-Price-Week-Ago-12,115.7300,Stock-Previous-Quarter-12,104.1400,Peer-1-Previous-Quarter-12,75.1300,Peer-2-Previous-Quarter-12,205.8000,Peer-3-Previous-Quarter-12,42.6800,Peer-4-Previous-Quarter-81,68.6400
